pm25_diff,resp_diff,month_ahead
-8.395355136137514,-83.98760627578716,1
-12.798503077890544,-141.6132724966547,2
-13.674837006095231,-168.10222314344793,3
-7.162952660272392,-76.00522113449614,4
0.21455777864490955,-0.29440546166767945,5
-5.636482371223114,-67.43205715887703,6
-8.07126836845688,-70.84827920399552,7
0.9709828205499313,13.393730716018013,8
8.84168793930532,89.45723831064375,9
16.758680414287124,199.01301542515154,10
18.102464172630103,203.70673627204553,11
3.692562139488489,33.74757094504665,12
